,date,publication,words,author,title,intro
0,2014-05-08,Le Monde,443mots,Laurence Caramel et Corine Lesnes (à Washington),Barack Obama appelle à « agir d'urgence » contre les effets du réchauffement,  ...  étapes d'un effort pédagogique intensif afin de convaincre les Américains de la réalité du  changement  climatique et de la nécessité d'  « agir d'urgence »  pour limiter les émissions de gaz à ...
1,2014-07-08,Le Monde,897mots,Rob Boogaard,Pour un « nouveau modèle industriel » en Europe,"  ...  de 1 200 millions de tonnes équivalent CO2 par an des émissions de gaz à  effet  de  serre (soit 14,6 % du total des émissions de gaz à  effet  de  serre annuelles ..."
2,2014-07-08,Le Monde,655mots,Rob Boogaard,Pour un « nouveau modèle industriel » en Europe,"  ...  de 1 200 millions de tonnes équivalent CO2 par an des émissions de gaz à  effet  de  serre (soit 14,6 % du total des émissions de gaz à  effet  de  serre annuelles ..."
3,2014-06-13,Le Monde,1013mots,,"Sous-nutrition, santé et environnement","...  ressources naturelles limitées sont soumises à une énorme pression. La résilience du système alimentaire au  changement  climatique est en jeu, et la production alimentaire est une source importante d'émissions de gaz ..."
4,2014-06-13,Le Monde,751mots,,"Sous-nutrition, santé et environnement","...  ressources naturelles limitées sont soumises à une énorme pression. La résilience du système alimentaire au  changement  climatique est en jeu, et la production alimentaire est une source importante d'émissions de gaz ..."
5,2014-05-08,Le Monde,2208mots,"Ian Traynor (The Guardian), Ignacio Fariza Somolinos (El Pais), Javier Caceres (Süddeutsche Zeitung), Marco Zatterin (La Stampa)",Les lobbies à la manoeuvre,"  ...  sur la nécessité d'une réglementation souple. Gaz de schiste, politiques de lutte contre le  réchauffement  climatique, réglementations sur les gaz d'échappement automobiles, énergies renouvelables, techniques de capture du gaz carbonique ..."
6,2014-05-08,Le Monde,1707mots,"Ian Traynor (The Guardian), Ignacio Fariza Somolinos (El Pais), Javier Caceres (Süddeutsche Zeitung), Marco Zatterin (La Stampa)",Les lobbies à la manoeuvre,"  ...  sur la nécessité d'une réglementation souple. Gaz de schiste, politiques de lutte contre le  réchauffement  climatique, réglementations sur les gaz d'échappement automobiles, énergies renouvelables, techniques de capture du gaz carbonique ..."
7,2014-05-21,Le Monde,662mots,Gérard Magnin,Pour une « Europe des projets » : l'exemple de la politique de l'énergie,"  ...  L'Union européenne a décidé, en 2008, sous présidence française, d'une politique relative au  changement  climatique et à la transition énergétique, appelée dans le jargon  il est vrai peu propice au ..."
8,2014-05-21,Le Monde,896mots,Gérard Magnin,Pour une « Europe des projets » : l'exemple de la politique de l'énergie,"  ...  L'Union européenne a décidé, en 2008, sous présidence française, d'une politique relative au  changement  climatique et à la transition énergétique, appelée dans le jargon  il est vrai peu propice au ..."
9,2014-08-26,Le Monde,795mots,J. Bo.,"La ville indienne de Surat, laboratoire de l'adaptation au changement climatique","  ... 'habitants se préparent déjà à affronter les catastrophes déclenchées par l'urbanisation rapide et le  réchauffement  climatique. Surat, qui a bâti sa fortune sur les industries du textile, des diamants et de ..."
10,2014-06-05,Le Monde,538mots,Harold Thibault,"Plus gros pollueur au monde, la Chine pourrait fixer un plafond à ses rejets de CO2","  ...  se mobiliser contre le réchauffement. Mardi 3 juin, un conseiller du gouvernement chinois sur le  changement  climatique a annoncé publiquement que Pékin pourrait fixer un plafond en valeur absolue à ses rejets ..."
11,2014-06-25,Le Monde,435mots,Corine Lesnes,De puissants hommes d'affaires américains appellent à lutter contre le réchauffement,  L'industrie américaine estelle en train de prendre conscience du  changement  climatique? Les chefs d'entreprise s'inquiètent de plus en plus des risques encourus du fait du dérèglement du climat ...
12,2014-06-25,Le Monde,574mots,Corine Lesnes,De puissants hommes d'affaires américains appellent à lutter contre le réchauffement,  L'industrie américaine estelle en train de prendre conscience du  changement  climatique? Les chefs d'entreprise s'inquiètent de plus en plus des risques encourus du fait du dérèglement du climat ...
13,2014-05-29,Le Monde,422mots,Pierre Le Hir,Papillons et libellules pâlissent du réchauffement,"  ...  Sud, la piéride de l'ibéride, qui a poussé encore plus haut ses incursions. « Le  réchauffement  climatique favorise les insectes clairs en Europe »  , concluent les auteurs, qui prévoient un plus sombre avenir ..."
14,2014-05-29,Le Monde,533mots,Pierre Le Hir,Papillons et libellules pâlissent du réchauffement,"  ...  Sud, la piéride de l'ibéride, qui a poussé encore plus haut ses incursions. « Le  réchauffement  climatique favorise les insectes clairs en Europe »  , concluent les auteurs, qui prévoient un plus sombre avenir ..."
15,2014-06-05,Le Monde,411mots,Stéphanie Le Bars,"Croyants de tous les pays, jeûnez pour sauver le climat","  ...  organisée à Paris, chacun est appelé à jeûner le premier jour de chaque mois,  « en solidarité avec les populations déjà touchées par les effets du  changement  climatique à travers le monde »  .  ..."
16,2014-06-05,Le Monde,525mots,Stéphanie Le Bars,"Croyants de tous les pays, jeûnez pour sauver le climat","  ...  jour de chaque mois,  « en solidarité avec les populations déjà touchées par les effets du  changement  climatique à travers le monde »  . « Le temps presse » « Le jeûne est une pratique qui traverse toutes ..."
17,2014-06-16,Le Monde,1177mots,,"Au Canada, le dieu pétrole","...  exploitation pétrolière en Alberta est déjà responsable des deux tiers des émissions de gaz à  effet  de  serre de tout le Canada, et son expansion est incessante. C'est à cause d ..."
18,2014-06-16,Le Monde,607mots,,"Face à l'élévation du Pacifique, Kiribati achète 20 km2 de terre refuge aux Fidji","Les habitants de Kiribati, cet archipel du Pacifique en première ligne face au  changement  climatique, possèdent désormais une terre refuge. Leur président, Anote Tong, vient de signer le dernier chèque finalisant l ..."
19,2014-05-03,Le Monde,836mots,Pierre Le Hir,L'Everest et le Mont-Blanc à l'épreuve du réchauffement,"  ... Plus que jamais, la question de l'impact du  réchauffement  climatique sur la stabilité des « géants blancs » , ceux de l'Himalaya comme ceux des Alpes, est posée.  « Le niveau de danger a ..."
