,date,publication,words,author,title,intro
0,2013-08-14,Le Monde,350mots,Marc Roche,"Gaz de schiste, effet de serre : David Cameron répond aux voeux de l'industrie",  ... 'était démarqué de ses prédécesseurs en se faisant le chantre de la lutte contre le  réchauffement  climatique et l'effet  de  serre. Il avait été jusqu'à modifier le logo de son ...
1,2013-05-24,Le Monde,661mots,Eric Chevillard,L'usure du monde,"  ...  de fondre, de se réduire tragiquement du fait de la montée des eaux consécutive au  réchauffement  climatique consécutif à l'effet  de  serre consécutif aux émissions de dioxyde de carbone consécutives à ..."
2,2013-08-12,Le Monde,613mots,Gilles van Kote,Un village cossu du Sussex se refuse au gaz de schiste,  ... 'incompatibilité du développement de cette énergie fossile avec la réduction des émissions de gaz à  effet  de  serre nécessaire pour limiter le  réchauffement  climatique. Les proportions du campement improvisé de Balcombe sont ...
3,2013-05-11,Le Monde,624mots,Audrey Garric,"Les salles de classe anglo-saxonnes, nouvelles cibles des climatosceptiques","  ... Uni, la polémique enfle chez les enseignants et les scientifiques qui craignent de voir le  changement  climatique disparaître des programmes scolaires. Aux EtatsUnis, la notion vient certes de faire son entrée ..."
4,2013-05-20,Le Monde,340mots,par Hervé Kempf,Le coeur du débat,"  ...  apparaît avec une lucidité cristalline. D'un côté, les écologistes déduisent de la gravité du  changement  climatique qu'il faut réduire les émissions de gaz à  effet  de  serre de 80 % à ..."
5,2013-05-15,Le Monde,850mots,Peter Altmaier Delphine Batho,Faisons de la transition énergétique le moteur du couple franco-allemand,  ...  devons poursuivre nos efforts afin d'atteindre l'objectif des 2 oC fixé pour le  réchauffement  climatique lors du sommet de Copenhague en 2009. Il faudra s'efforcer de dépasser l'objectif ...
6,2013-06-26,Le Monde,441mots,Frédéric Bobin,La polémique enfle en Inde après le bilan désastreux de la mousson précoce,"  ...  pour l'instant prudents sur l'existence d'un lien entre ce désastre et le  réchauffement  climatique, et en particulier la fonte de glaciers de l'Himalaya. Le  changement  climatique augmente la ..."
7,2013-08-27,Le Monde,372mots,Propos recueillis par E. A. (à Londres),Fatih Birol : « L'ère du brut bon marché est terminée »,"  ...  vingt ans, repoussant le pic de production de pétrole? Il ne faut pas oublier le  changement  climatique. Avec le charbon, le pétrole est l'une des premières sources de gaz à effet ..."
8,2013-08-19,Le Monde,508mots,Thomas Diego Badia et Pierre Le Hir,L'Equateur renonce à sanctuariser le parc Yasuni pour en exploiter le pétrole,"  ...  télévision M. Correa, dénonçant  « la grande hypocrisie »  des nations les plus émettrices de gaz à  effet  de  serre.  « Ce n'est pas la charité que nous demandions à la communauté internationale, mais ..."
9,2013-06-21,Le Monde,84mots,,""" Faire plus contre le changement climatique ""","...  Nous savons que nous devons faire plus et nous ferons plus pour lutter contre le  changement  climatique "", a promis Barack Obama, mercredi, à Berlin. "" Notre génération doit avancer vers un pacte mondial ..."
